capacity_pct,policy,global_hr_baseline,global_hr_policy,delta_hr_pp,pct_tenants_improved_hr,pct_tenants_reduced_interference,avg_interference_baseline,avg_interference_policy,num_tenants_compared
5,memshare,0.123940,0.103973,-1.9967,72.4832,62.1153,0.158482,0.103912,4321
5,fairshare,0.123940,0.094405,-2.9535,39.0882,82.1801,0.158482,0.000000,4321
10,memshare,0.170199,0.144369,-2.5830,75.8964,71.1543,0.153343,0.076993,4323
10,fairshare,0.170199,0.144097,-2.6102,33.9273,82.4346,0.153414,0.000000,4321
15,memshare,0.211875,0.179956,-3.1918,77.1045,75.1156,0.146172,0.058304,4324
15,fairshare,0.211875,0.191330,-2.0544,24.3462,82.6198,0.146274,0.000000,4321
20,memshare,0.244418,0.213844,-3.0574,77.6030,78.0657,0.142022,0.044619,4322
20,fairshare,0.244418,0.229452,-1.4965,12.6360,82.8280,0.142055,0.000000,4321
25,memshare,0.273204,0.244080,-2.9124,77.3664,78.1995,0.132115,0.033088,4321
25,fairshare,0.273204,0.257620,-1.5584,2.4994,82.2495,0.132115,0.000000,4321
30,memshare,0.296341,0.271561,-2.4780,76.8572,77.9681,0.122484,0.024382,4321
30,fairshare,0.296341,0.268777,-2.7564,23.7445,81.3006,0.122484,0.000000,4321
50,memshare,0.357583,0.347703,-0.9881,71.9741,73.0386,0.083796,0.005910,4321
50,fairshare,0.357583,0.288002,-6.9581,13.5848,74.4735,0.083796,0.000000,4321
